Product ID,Type,Air Temp [K],Process Temp [K],Rotational Speed [rpm],Torque [Nm],Tool wear [min],Failure,Failure Type
M14896,M,298.9,309.2,1581,36.7,101,0,No Failure
L47217,L,298.8,309.1,1439,39.2,104,0,No Failure
H29452,H,298.9,309.2,1379,50.7,106,0,No Failure
L47219,L,298.8,309.1,1350,52.5,111,0,No Failure
L47220,L,298.8,309.1,1362,45.4,113,0,No Failure
L47221,L,298.8,309.1,1368,50.8,115,0,No Failure
M14902,M,298.8,309.1,1368,49.1,117,0,No Failure
H29457,H,298.8,309.2,1372,48.5,120,0,No Failure
M14904,M,298.8,309.1,1472,47.5,125,0,No Failure
L47225,L,298.8,309.1,1489,49.1,128,0,No Failure
M14906,M,298.7,309,1843,25.8,130,0,No Failure
L47227,L,298.8,309.1,1418,46.3,133,0,No Failure
H29462,H,298.8,309.2,1425,53.9,135,0,No Failure
M14909,M,298.9,309.2,1412,44.1,140,0,No Failure
L47230,L,298.9,309.1,2861,4.6,143,1,Power Failure
L47231,L,298.9,309.1,1383,54.9,145,0,No Failure
H29466,H,298.8,309,1497,43.8,147,0,No Failure
L47233,L,298.7,309,1565,35.1,152,0,No Failure
L47234,L,298.7,309,1691,30.1,154,0,No Failure
L47235,L,298.8,309.1,1512,40.7,156,0,No Failure
L47236,L,298.8,309.1,1477,42.4,158,0,No Failure
L47237,L,298.8,309.1,1513,40.3,160,0,No Failure
M14918,M,298.8,309,1661,29.5,162,0,No Failure
L47239,L,298.8,309.1,1378,54.4,165,0,No Failure
L47240,L,298.8,309.1,1393,52.6,167,0,No Failure
M14921,M,298.8,309,1592,38.2,169,0,No Failure
L47242,L,298.8,309,1829,22.9,172,0,No Failure
M14923,M,298.9,309,1812,25.9,174,0,No Failure
L47244,L,299,309.1,1523,38.6,177,0,No Failure
L47245,L,299,309.1,1394,45.1,179,0,No Failure
M14926,M,298.9,308.9,1679,28.7,181,0,No Failure
H29481,H,298.8,308.9,1466,44.1,184,0,No Failure
L47248,L,298.8,308.9,1527,32.4,189,0,No Failure
L47249,L,298.9,309,1410,65.7,191,1,Power Failure
M14930,M,298.9,309,1924,22.6,193,0,No Failure
L47251,L,298.9,309.1,1452,45.5,196,0,No Failure
L47252,L,298.9,309.1,1369,44.4,198,0,No Failure
L47253,L,299,309.1,1592,35,200,0,No Failure
L47254,L,298.9,309,1601,32.3,202,0,No Failure
L47255,L,298.8,308.9,1379,46.7,204,0,No Failure
L47256,L,298.8,308.9,1461,47.9,206,0,No Failure
L47257,L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure
L47258,L,298.8,308.9,1398,51.5,0,0,No Failure
L47259,L,298.8,308.9,1402,37.9,2,0,No Failure
H29494,H,298.8,308.8,1445,49.9,4,0,No Failure
L47261,L,298.9,308.9,1450,47.5,9,0,No Failure
L47262,L,298.9,308.9,1453,40.8,11,0,No Failure
L47263,L,299,309,1469,40.1,13,0,No Failure
L47264,L,298.9,308.9,1422,47.6,15,0,No Failure
M14945,M,299,309,1804,26.8,17,0,No Failure
H29500,H,299,309,1436,43.9,20,0,No Failure
L47267,L,299,309,1544,31.8,25,0,No Failure
M14948,M,299,309,1419,45.2,27,0,No Failure
M14949,M,298.9,308.9,1487,39.5,30,0,No Failure
L47270,L,298.9,308.9,1753,25.8,33,0,No Failure
L47271,L,298.9,308.9,1830,24.9,35,0,No Failure
M14952,M,298.9,308.9,1727,27.1,37,0,No Failure
L47273,L,299.1,309,1450,43,40,0,No Failure
L47274,L,299,308.9,1622,31.9,42,0,No Failure
M14955,M,299,309,1351,52.2,44,0,No Failure
M14956,M,299,309,1575,35.3,47,0,No Failure
M14957,M,298.9,308.9,1750,29.9,50,0,No Failure
L47278,L,298.9,308.8,1529,32.7,53,0,No Failure
L47279,L,298.8,308.8,1523,44.4,55,0,No Failure
L47280,L,298.8,308.9,1852,25,57,0,No Failure
L47281,L,298.8,308.8,1991,20.7,59,0,No Failure
L47282,L,298.8,308.8,1555,40.6,61,0,No Failure
M14963,M,298.8,308.8,1441,40.5,63,0,No Failure
L47284,L,298.8,308.7,1450,43.4,66,0,No Failure
L47285,L,298.8,308.7,1591,31.1,68,0,No Failure
L47286,L,298.8,308.7,1445,48.5,70,0,No Failure
M14967,M,298.8,308.8,1497,46.8,72,0,No Failure
H29522,H,298.9,308.8,1621,32.7,75,0,No Failure
L47289,L,298.9,308.7,1572,34.1,80,0,No Failure
L47290,L,298.8,308.6,1872,22.5,82,0,No Failure
H29525,H,298.7,308.6,1499,43.5,84,0,No Failure
M14972,M,298.8,308.7,1498,39.5,89,0,No Failure
M14973,M,298.8,308.6,1486,41.9,92,0,No Failure
L47294,L,298.8,308.6,1680,29.4,95,0,No Failure
L47295,L,298.8,308.6,1431,45.7,97,0,No Failure
L47296,L,298.9,308.7,1564,34.1,99,0,No Failure
L47297,L,298.8,308.6,1599,33,101,0,No Failure
M14978,M,298.8,308.6,1707,28.1,103,0,No Failure
L47299,L,298.7,308.5,1467,40.7,106,0,No Failure
L47300,L,298.9,308.7,1433,44.7,108,0,No Failure
L47301,L,298.9,308.7,1558,41.2,110,0,No Failure
L47302,L,299,308.8,1310,50.7,112,0,No Failure
L47303,L,298.9,308.7,1546,43.4,114,0,No Failure
L47304,L,298.9,308.7,1727,29.4,116,0,No Failure
L47305,L,298.9,308.6,1560,32.2,118,0,No Failure
L47306,L,299,308.6,1329,60.5,120,0,No Failure
L47307,L,298.9,308.6,1413,46.5,122,0,No Failure
L47308,L,299,308.6,1587,38.6,124,0,No Failure
L47309,L,298.9,308.5,1559,34.3,126,0,No Failure
L47310,L,298.8,308.4,1473,41.1,128,0,No Failure
L47311,L,298.8,308.4,1737,27.7,130,0,No Failure
M14992,M,298.7,308.4,1441,43.2,132,0,No Failure
M14993,M,298.7,308.4,1430,49.6,135,0,No Failure
L47314,L,298.8,308.4,1369,53,138,0,No Failure
M14995,M,298.8,308.5,1711,28.5,140,0,No Failure
H29550,H,298.7,308.5,1420,45.7,143,0,No Failure
L47317,L,298.7,308.6,1297,55.3,148,0,No Failure
H29552,H,298.8,308.6,1449,49.4,150,0,No Failure
L47319,L,298.8,308.6,1268,55.8,155,0,No Failure
L47320,L,298.8,308.6,1511,36.1,157,0,No Failure
L47321,L,298.7,308.5,1544,35.2,159,0,No Failure
M15002,M,298.6,308.4,1778,28.2,161,0,No Failure
H29557,H,298.6,308.4,1407,50.5,164,0,No Failure
M15004,M,298.6,308.4,1391,42.4,169,0,No Failure
L47325,L,298.5,308.4,1513,33.6,172,0,No Failure
H29560,H,298.5,308.4,1612,36.1,174,0,No Failure
L47327,L,298.4,308.4,1515,40.1,179,0,No Failure
M15008,M,298.3,308.3,1379,48,181,0,No Failure
L47329,L,298.4,308.3,1473,39.9,184,0,No Failure
L47330,L,298.4,308.3,1422,42.7,186,0,No Failure
M15011,M,298.4,308.2,1463,37.6,188,0,No Failure
M15012,M,298.4,308.2,1584,41,191,0,No Failure
L47333,L,298.4,308.2,1850,27,194,0,No Failure
L47334,L,298.4,308.2,1528,36.2,196,0,No Failure
H29569,H,298.4,308.2,1987,19.8,198,0,No Failure
M15016,M,298.4,308.1,1495,46,203,0,No Failure
H29571,H,298.4,308.2,1478,43.5,206,0,No Failure
M15018,M,298.4,308.2,1499,40,211,0,No Failure
L47339,L,298.4,308.2,1471,47,214,0,No Failure
L47340,L,298.4,308.2,1282,60.7,216,1,Overstrain Failure
L47341,L,298.3,308.1,1412,52.3,218,1,Overstrain Failure
L47342,L,298.3,308.1,1586,35.5,0,0,No Failure
M15023,M,298.4,308.2,1468,43.8,2,0,No Failure
M15024,M,298.5,308.3,1440,43.6,5,0,No Failure
L47345,L,298.5,308.4,1733,26,8,0,No Failure
H29580,H,298.4,308.2,1612,32.6,10,0,No Failure
H29581,H,298.4,308.3,1458,42.9,15,0,No Failure
L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure
L47349,L,298.4,308.3,1318,59.1,22,0,No Failure
M15030,M,298.4,308.2,1610,35,24,0,No Failure
L47351,L,298.2,308.1,1462,50.8,27,0,No Failure
M15032,M,298.1,308,1924,20.8,29,0,No Failure
M15033,M,298.2,308,1591,33.7,32,0,No Failure
L47354,L,298.2,308.1,1306,58.3,35,0,No Failure
L47355,L,298.2,308.1,1382,43.5,37,0,No Failure
L47356,L,298.2,308.1,1618,34.7,39,0,No Failure
L47357,L,298.2,308.2,1988,21.4,41,0,No Failure
L47358,L,298.2,308.2,1436,50.2,43,0,No Failure
L47359,L,298.2,308.3,1304,49.8,45,0,No Failure
L47360,L,298.2,308.3,1475,49.9,47,0,No Failure
H29595,H,298.2,308.3,1824,24.2,49,0,No Failure
M15042,M,298.1,308.2,1342,48.1,54,0,No Failure
L47363,L,298.1,308.2,1485,40.7,57,0,No Failure
L47364,L,298.2,308.2,1667,30.6,59,0,No Failure
L47365,L,298.2,308.2,1446,38.2,61,0,No Failure
L47366,L,298.1,308.3,1301,56,63,0,No Failure
L47367,L,298.2,308.4,1379,43.1,65,0,No Failure
L47368,L,298.3,308.5,1606,33.6,67,0,No Failure
M15049,M,298.3,308.4,1539,43.4,69,0,No Failure
L47370,L,298.2,308.4,1477,49.9,72,0,No Failure
L47371,L,298.2,308.4,1666,34.6,74,0,No Failure
H29606,H,298.2,308.4,1398,51.8,76,0,No Failure
H29607,H,298.2,308.4,1678,34.6,81,0,No Failure
M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure
L47375,L,298.3,308.5,1453,42.9,89,0,No Failure
H29610,H,298.3,308.6,1432,49.5,91,0,No Failure
M15057,M,298.4,308.6,1527,40.9,96,0,No Failure
L47378,L,298.4,308.7,1588,35,99,0,No Failure
L47379,L,298.4,308.6,1433,47.1,101,0,No Failure
L47380,L,298.4,308.6,1609,35,103,0,No Failure
L47381,L,298.3,308.5,1575,41.2,105,0,No Failure
M15062,M,298.4,308.5,1636,35.7,107,0,No Failure
L47383,L,298.4,308.5,1490,37.9,110,0,No Failure
L47384,L,298.4,308.5,1741,32.8,112,0,No Failure
M15065,M,298.5,308.6,1344,53,114,0,No Failure
L47386,L,298.5,308.7,1609,35.3,117,0,No Failure
M15067,M,298.4,308.7,1421,60.7,119,1,Power Failure
L47388,L,298.4,308.6,1591,36.7,122,0,No Failure
L47389,L,298.4,308.6,1477,44,124,0,No Failure
L47390,L,298.4,308.7,1523,36.1,126,0,No Failure
L47391,L,298.5,308.7,1575,33.9,128,0,No Failure
H29626,H,298.4,308.7,1344,52.9,130,0,No Failure
L47393,L,298.4,308.7,1386,44.9,135,0,No Failure
M15074,M,298.3,308.6,1589,37.1,137,0,No Failure
L47395,L,298.3,308.6,1548,40.3,140,0,No Failure
L47396,L,298.3,308.6,1499,38.3,142,0,No Failure
L47397,L,298.3,308.5,1664,31.6,144,0,No Failure
L47398,L,298.3,308.6,1447,38.1,146,0,No Failure
M15079,M,298.3,308.5,1434,46.2,148,0,No Failure
L47400,L,298.3,308.5,1416,52.7,151,0,No Failure
H29635,H,298.4,308.5,1827,24.3,153,0,No Failure
L47402,L,298.4,308.6,1304,45,158,0,No Failure
L47403,L,298.4,308.6,1569,34.4,160,0,No Failure
L47404,L,298.3,308.6,1584,29.3,162,0,No Failure
L47405,L,298.3,308.5,1362,53.8,164,0,No Failure
L47406,L,298.3,308.4,1329,49.2,166,0,No Failure
L47407,L,298.3,308.5,1539,36.1,168,0,No Failure
M15088,M,298.3,308.5,1629,37.1,170,0,No Failure
L47409,L,298.3,308.5,1538,32.2,173,0,No Failure
L47410,L,298.3,308.6,1570,34.8,175,0,No Failure
L47411,L,298.3,308.4,1408,43.1,177,0,No Failure
L47412,L,298.2,308.4,1424,47.6,179,0,No Failure
L47413,L,298.2,308.4,1512,34.9,181,0,No Failure
L47414,L,298.2,308.4,1478,42.9,183,0,No Failure
M15095,M,298.1,308.3,1680,33.7,185,0,No Failure
L47416,L,298.1,308.3,1495,38.7,188,0,No Failure
M15097,M,298,308.1,1552,36.6,190,0,No Failure
L47418,L,297.9,308.1,1393,50.3,193,0,No Failure
L47419,L,298,308.2,1611,30.6,195,0,No Failure
M15100,M,298,308.1,1339,51.6,197,0,No Failure
L47421,L,298,308.1,1777,24.3,200,0,No Failure
L47422,L,298,308.2,1348,58.8,202,1,Overstrain Failure
L47423,L,298,308.2,1442,44.1,204,0,No Failure
M15104,M,298,308.2,1395,49.1,206,0,No Failure
M15105,M,297.9,308.1,1627,31.4,209,0,No Failure
L47426,L,297.9,308.1,1585,33.5,212,0,No Failure
L47427,L,298,308.2,1469,45.5,214,0,No Failure
L47428,L,298,308.3,1362,56.8,216,1,Overstrain Failure
L47429,L,298,308.3,1405,56.2,218,1,Overstrain Failure
L47430,L,298,308.3,1662,32.7,0,0,No Failure
M15111,M,298,308.2,1466,42.6,2,0,No Failure
L47432,L,298,308.2,1620,35.8,5,0,No Failure
L47433,L,298,308.2,1357,48.2,7,0,No Failure
L47434,L,298,308.2,1514,37.9,9,0,No Failure
L47435,L,298,308.2,1489,40.4,11,0,No Failure
L47436,L,298.1,308.3,1331,63,13,0,No Failure
L47437,L,298,308,1615,29.5,15,0,No Failure
L47438,L,298.1,308.2,1482,37.9,17,0,No Failure
M15119,M,298.1,308.2,1420,63.9,19,1,Power Failure
M15120,M,298.2,308.3,1522,49.1,22,0,No Failure
L47441,L,298.1,308.2,1654,32.1,25,0,No Failure
M15122,M,298.1,308.2,1736,26.8,27,0,No Failure
M15123,M,298,308.1,1587,32.3,30,0,No Failure
L47444,L,298.1,308.2,1390,47.5,33,0,No Failure
L47445,L,298,308.1,1454,37.1,35,0,No Failure
H29680,H,298,308.1,1440,43.7,37,0,No Failure
L47447,L,297.9,308,1954,21.1,42,0,No Failure
H29682,H,297.9,308,1800,24.8,44,0,No Failure
L47449,L,298,308,1524,37,49,0,No Failure
H29684,H,298,308,1520,39.6,51,0,No Failure
M15131,M,298.1,308.1,1452,40.8,56,0,No Failure
L47452,L,298.1,308.1,1484,40.4,59,0,No Failure
L47453,L,298.1,308,1426,46,61,0,No Failure
L47454,L,298.1,308,1652,28.5,63,0,No Failure
L47455,L,298,308,1401,54.7,65,0,No Failure
M15136,M,298,307.9,1750,26.6,67,0,No Failure
H29691,H,298,308,1479,50.7,70,0,No Failure
M15138,M,298,308,1620,29.4,75,0,No Failure
L47459,L,298,308.1,1819,23.4,78,0,No Failure
M15140,M,298.1,308.1,1456,43.7,80,0,No Failure
L47461,L,298.1,308,1626,36.5,83,0,No Failure
M15142,M,298.1,308.1,1390,49.8,85,0,No Failure
L47463,L,298.2,308.2,1469,43,88,0,No Failure
L47464,L,298.2,308.3,2051,19.2,90,0,No Failure
L47465,L,298.2,308.3,1568,36,92,0,No Failure
L47466,L,298.2,308.3,1589,33.2,94,0,No Failure
L47467,L,298.2,308.3,1805,31.6,96,0,No Failure
H29702,H,298.2,308.4,1385,42.2,98,0,No Failure
L47469,L,298.1,308.4,1436,46.7,103,0,No Failure
L47470,L,298.1,308.4,1438,45.6,105,0,No Failure
L47471,L,298,308.3,1473,42.6,107,0,No Failure
L47472,L,298.1,308.4,1335,40.2,109,0,No Failure
H29707,H,298.1,308.5,1392,44.8,111,0,No Failure
M15154,M,298.1,308.5,1372,51.1,116,0,No Failure
M15155,M,298.1,308.6,1716,30.7,119,0,No Failure
L47476,L,298,308.5,1395,46.2,122,0,No Failure
L47477,L,298,308.5,1713,25.3,124,0,No Failure
H29712,H,297.9,308.5,2129,18.7,126,0,No Failure
M15159,M,297.8,308.3,1567,35.6,131,0,No Failure
L47480,L,297.8,308.4,1622,38.3,134,0,No Failure
L47481,L,297.7,308.4,1740,27.1,136,0,No Failure
H29716,H,297.8,308.4,1512,35.1,138,0,No Failure
M15163,M,297.8,308.4,1479,43.5,143,0,No Failure
L47484,L,297.8,308.4,1737,27.5,146,0,No Failure
L47485,L,297.8,308.4,2129,19.2,148,0,No Failure
L47486,L,297.8,308.4,1374,47.1,150,0,No Failure
M15167,M,297.8,308.4,1579,36.6,152,0,No Failure
L47488,L,297.9,308.5,1305,47.2,155,0,No Failure
M15169,M,297.9,308.5,1449,40.8,157,0,No Failure
H29724,H,298,308.6,1526,41.8,160,0,No Failure
M15171,M,298,308.6,1453,44.1,165,0,No Failure
L47492,L,297.9,308.6,1468,36,168,0,No Failure
L47493,L,298,308.6,1313,50.8,170,0,No Failure
M15174,M,297.9,308.5,1300,53,172,0,No Failure
L47495,L,297.9,308.4,1646,40.6,175,0,No Failure
L47496,L,297.8,308.4,1714,33.2,177,0,No Failure
L47497,L,297.8,308.4,1685,28.4,179,0,No Failure
L47498,L,297.8,308.4,1512,39.9,181,0,No Failure
L47499,L,297.8,308.4,1612,32.1,183,0,No Failure
H29734,H,297.8,308.4,1550,38.2,185,0,No Failure
L47501,L,297.8,308.4,1518,32.5,190,0,No Failure
L47502,L,297.8,308.5,1448,40,192,0,No Failure
L47503,L,297.8,308.5,1561,46.3,194,0,No Failure
M15184,M,297.8,308.5,1488,41.9,196,0,No Failure
L47505,L,297.8,308.5,1699,27.8,199,0,No Failure
L47506,L,297.7,308.5,1501,41.4,201,0,No Failure
L47507,L,297.7,308.5,1373,56.7,203,1,Overstrain Failure
H29742,H,297.6,308.4,1703,31.4,205,0,No Failure
H29743,H,297.7,308.5,1720,29.9,210,0,No Failure
M15190,M,297.6,308.4,1398,41.9,215,0,No Failure
M15191,M,297.6,308.4,1391,51.9,218,0,No Failure
M15192,M,297.6,308.3,1538,40.2,0,0,No Failure
L47513,L,297.5,308.2,1647,31.3,3,0,No Failure
M15194,M,297.5,308.1,1469,44.8,5,0,No Failure
L47515,L,297.4,308.1,1749,25.9,8,0,No Failure
M15196,M,297.6,308.2,1995,20.5,10,0,No Failure
L47517,L,297.6,308.3,1742,27.7,13,0,No Failure
L47518,L,297.5,308.2,1563,38.2,15,0,No Failure
M15199,M,297.5,308.2,1713,32.2,17,0,No Failure
L47520,L,297.4,308.1,1474,39.4,20,0,No Failure
M15201,M,297.4,308.2,1530,32.6,22,0,No Failure
L47522,L,297.4,308.2,1471,46.5,25,0,No Failure
L47523,L,297.5,308.3,1388,48.6,27,0,No Failure
M15204,M,297.5,308.2,2448,13.8,29,0,No Failure
L47525,L,297.5,308.3,1585,32.9,32,0,No Failure
M15206,M,297.5,308.3,1459,45.2,34,0,No Failure
L47527,L,297.5,308.3,1544,40.8,37,0,No Failure
L47528,L,297.6,308.3,1617,31.7,39,0,No Failure
L47529,L,297.6,308.3,1595,34.3,41,0,No Failure
H29764,H,297.6,308.3,1400,44.3,43,0,No Failure
M15211,M,297.6,308.4,1611,31,48,0,No Failure
M15212,M,297.6,308.4,1507,46,51,0,No Failure
H29767,H,297.5,308.3,1674,30,54,0,No Failure
L47534,L,297.6,308.3,1658,34.3,59,0,No Failure
L47535,L,297.6,308.3,1623,36.9,61,0,No Failure
M15216,M,297.6,308.4,1398,48.9,63,0,No Failure
L47537,L,297.6,308.4,1517,34.2,66,0,No Failure
M15218,M,297.6,308.3,1467,36.7,68,0,No Failure
M15219,M,297.6,308.3,1567,34.6,71,0,No Failure
M15220,M,297.5,308.3,1521,38.2,74,0,No Failure
L47541,L,297.5,308.3,1596,36.8,77,0,No Failure
H29776,H,297.6,308.3,1640,30.9,79,0,No Failure
L47543,L,297.6,308.3,1438,47.8,84,0,No Failure
L47544,L,297.6,308.4,1407,55.2,86,0,No Failure
L47545,L,297.6,308.4,1353,57.5,88,0,No Failure
M15226,M,297.6,308.5,1552,40.9,90,0,No Failure
M15227,M,297.6,308.4,1569,38.3,93,0,No Failure
L47548,L,297.5,308.4,1489,39.5,96,0,No Failure
H29783,H,297.5,308.4,1587,36.1,98,0,No Failure
M15230,M,297.5,308.3,1622,37.2,103,0,No Failure
L47551,L,297.5,308.4,1604,38.1,106,0,No Failure
M15232,M,297.4,308.3,1405,51.7,108,0,No Failure
L47553,L,297.4,308.3,1412,42,111,0,No Failure
L47554,L,297.4,308.3,1431,43,113,0,No Failure
L47555,L,297.4,308.2,1533,37.4,115,0,No Failure
M15236,M,297.4,308.2,1401,51.9,117,0,No Failure
M15237,M,297.4,308.2,1424,53.9,120,0,No Failure
L47558,L,297.3,308.2,1754,29.4,123,0,No Failure
L47559,L,297.3,308.2,1754,26.8,125,0,No Failure
L47560,L,297.5,308.3,2564,12.8,127,1,Power Failure
L47561,L,297.5,308.5,1546,40.4,129,0,No Failure
L47562,L,297.5,308.5,1335,48,131,0,No Failure
M15243,M,297.5,308.6,1842,27,133,0,No Failure
L47564,L,297.5,308.5,1712,26.8,136,0,No Failure
M15245,M,297.6,308.6,1414,45.4,138,0,No Failure
L47566,L,297.6,308.7,1319,50.9,141,0,No Failure
L47567,L,297.7,308.7,1249,60.4,143,0,No Failure
L47568,L,297.6,308.7,1455,48.2,145,0,No Failure
M15249,M,297.6,308.7,1408,54.8,147,0,No Failure
L47570,L,297.6,308.7,1460,46.7,150,0,No Failure
L47571,L,297.6,308.6,1491,38.1,152,0,No Failure
M15252,M,297.6,308.5,1490,43.4,154,0,No Failure
M15253,M,297.5,308.4,1350,52.2,157,0,No Failure
L47574,L,297.5,308.4,1528,39.9,160,0,No Failure
L47575,L,297.4,308.3,1571,37.7,162,0,No Failure
L47576,L,297.4,308.3,1490,42.6,164,0,No Failure
M15257,M,297.4,308.3,1774,28.9,166,0,No Failure
H29812,H,297.4,308.3,1502,43.6,169,0,No Failure
L47579,L,297.4,308.4,1392,49.7,174,0,No Failure
L47580,L,297.4,308.5,2100,16.9,176,0,No Failure
L47581,L,297.5,308.5,1722,30.4,178,0,No Failure
L47582,L,297.4,308.6,1678,32.3,180,0,No Failure
L47583,L,297.3,308.6,1273,59.8,182,0,No Failure
L47584,L,297.3,308.6,1297,45.9,184,0,No Failure
L47585,L,297.3,308.5,1350,57.6,186,0,No Failure
L47586,L,297.4,308.6,1439,51.9,188,0,No Failure
M15267,M,297.4,308.5,1600,42.1,190,0,No Failure
M15268,M,297.4,308.6,1434,44.4,193,0,No Failure
L47589,L,297.4,308.6,1459,41.3,196,0,No Failure
M15270,M,297.5,308.6,1472,44.9,198,0,No Failure
L47591,L,297.5,308.7,1429,44.3,201,0,No Failure
L47592,L,297.5,308.6,1388,48.2,203,0,No Failure
L47593,L,297.4,308.4,1573,34.5,205,0,No Failure
L47594,L,297.4,308.4,1588,32.5,207,0,No Failure
L47595,L,297.5,308.4,1511,42.8,209,0,No Failure
L47596,L,297.4,308.5,1495,37.8,211,0,No Failure
L47597,L,297.4,308.4,1394,50.1,213,0,No Failure
L47598,L,297.4,308.4,2151,17.7,0,0,No Failure
M15279,M,297.3,308.3,1501,38.2,2,0,No Failure
M15280,M,297.3,308.3,1301,39.6,5,0,No Failure
M15281,M,297.3,308.3,1657,31.1,8,0,No Failure
L47602,L,297.3,308.3,1333,55.2,11,0,No Failure
L47603,L,297.3,308.3,1484,43.9,13,0,No Failure
L47604,L,297.3,308.4,1430,45.7,15,0,No Failure
M15285,M,297.3,308.4,1665,28.9,17,0,No Failure
L47606,L,297.4,308.5,1501,44.9,20,0,No Failure
M15287,M,297.5,308.5,1496,42.2,22,0,No Failure
M15288,M,297.6,308.6,1595,36.9,25,0,No Failure
L47609,L,297.5,308.6,1208,62.3,28,0,No Failure
L47610,L,297.5,308.6,1596,37.1,30,0,No Failure
L47611,L,297.5,308.5,1446,41.9,32,0,No Failure
M15292,M,297.6,308.5,1466,39.7,34,0,No Failure
M15293,M,297.6,308.5,1848,23.7,37,0,No Failure
M15294,M,297.5,308.5,1484,44.7,40,0,No Failure
L47615,L,297.4,308.3,1493,41.2,43,0,No Failure
L47616,L,297.3,308.3,1504,36.3,45,0,No Failure
L47617,L,297.3,308.3,1538,38.5,47,0,No Failure
L47618,L,297.4,308.4,1341,52.2,49,0,No Failure
M15299,M,297.4,308.3,1535,34.6,51,0,No Failure
L47620,L,297.4,308.5,1389,39.2,54,0,No Failure
H29855,H,297.5,308.5,1393,46.6,56,0,No Failure
L47622,L,297.4,308.5,1399,61.5,61,1,Power Failure
H29857,H,297.4,308.5,1469,45.1,63,0,No Failure
L47624,L,297.4,308.4,1582,37.2,68,0,No Failure
L47625,L,297.5,308.6,1793,26.7,70,0,No Failure
L47626,L,297.5,308.6,1452,39,72,0,No Failure
M15307,M,297.6,308.7,1376,59.9,74,0,No Failure
L47628,L,297.5,308.6,1552,44.9,77,0,No Failure
L47629,L,297.6,308.7,1622,37.9,79,0,No Failure
M15310,M,297.6,308.7,1419,41.7,81,0,No Failure
H29865,H,297.5,308.6,1440,46.1,84,0,No Failure
M15312,M,297.4,308.6,1643,31,89,0,No Failure
L47633,L,297.4,308.7,1510,36.2,92,0,No Failure
L47634,L,297.4,308.7,1468,46.6,94,0,No Failure
L47635,L,297.4,308.7,1429,57.4,96,0,No Failure
H29870,H,297.3,308.7,1478,47.6,98,0,No Failure
L47637,L,297.4,308.6,1276,53.6,103,0,No Failure
L47638,L,297.3,308.6,1486,42.6,105,0,No Failure
L47639,L,297.4,308.6,1476,42.3,107,0,No Failure
H29874,H,297.3,308.6,1431,42,109,0,No Failure
L47641,L,297.4,308.7,1402,40.2,114,0,No Failure
L47642,L,297.4,308.7,1433,43.4,116,0,No Failure
L47643,L,297.4,308.7,2874,4.2,118,1,Power Failure
L47644,L,297.3,308.6,1511,35.7,120,0,No Failure
M15325,M,297.3,308.6,1456,42.9,122,0,No Failure
L47646,L,297.2,308.5,1550,41.5,125,0,No Failure
L47647,L,297.2,308.5,2182,16.5,127,0,No Failure
L47648,L,297.3,308.7,1619,31.6,129,0,No Failure
